ORGANISM,frequency
T. cruzi DNA,1
T. cruzi lineage I,1
rodent,74
T. cruzi OligoC-TesT,1
gift,1
HCoV-HKU1,148
-NL63,9
Picornaviruses,30
enteroviruses,158
lice,5
human lice,1
Escherichia coli Bacteria,1
Human Influenza A Viruses Influenza virus,1
H5 hemagglutinin,10
H5N1 âbird fluâ,1
H5N1 HA,6
HA stem,8
Influenza Virus Infections,1
influenza-resistant poultry,2
H5N1 Influenza,4
Holger J. SchÃ¼nemann,1
anatid herpesvirus 1,1
Anatid herpesvirus 1,3
AHV-1,11
ducks,126
geese,32
AHV-1 DNA,1
S. pyogenes isolates,1
S. pyogenes,15
hepatitis B,118
1980s,3
virus-induced IFNÎ±,1
coronavirus infectious bronchitis (IBV),1
chicken kidney,4
monkey kidney cell line Vero,1
CK-adapted strains,1
Vero-adapted IBV,3
avian influenza (AI),8
Kong,20
H5N1 (,5
Arabia,60
human monocyte,2
feline haemotropic mycoplasmas â Mycoplasma haemofelis,1
cat bites,1
I274A,1
Coronavirus Envelope Protein Ion,2
coronavirus E,14
C-terminal,155
SARS-CoV E,43
human embryonic kidney 293 (HEK-293) cells,3
Hepatitis C,15
pCMVcoreKozak,8
Polyproteins,2
HCV 1b amino acids,1
core-specific T-cell,1
core-specific,1
Bombyx mori nucleopolyhedrovirus,4
human (pro)renin receptor (,1
human prorenin,1
hemolymph,6
BmNPV,5
Non-Structural Protein 4,1
Mouse Hepatitis Virus A59,5
nsp4,38
MHV strain A59,12
Surface Epithelial Cells,1
Human Cystic,1
human CF ciliated surface airway epithelium,1
human parainfluenza virus,19
surface epithelial cells,1
Herpes simplex virus type-1,3
outpatients,80
pneumonia/pneumonitis,1
SARS-CoV membrane,20
SARS-CoV M,24
Klassevirus 1,2
virus klassevirus 1,1
klassevirus 1,2
Lentiviral,18
human tumors,11
human glioblastoma,4
lentiviral pseudotyped,3
choriomeningitis virus glycoprotein (,1
LCMV-GP,1
human glioblastoma cells,1
pseudotyped gammaretroviral,1
pseudotyped lentiviral,3
herpes simplex virus,109
gammaretroviral,1
hepatitis A virus,60
human coxsackieviruses A,1
human rotavirus,43
amplicon,39
murine aortic endothelial cells,1
E. coli endotoxin,1
fish oil,5
influenza A/PuertoRico/8/34,1
fish oil-fed mice,3
Variola virus,4
monkeypox,29
cowpox,9
rodent-borne poxviruses,1
rabbitpox,1
rabbitpox virus-infected rabbit,1
HRV-C,85
HRV-B species,1
Sweet Potato,1
sweet potato,3
sweet potato roots,2
sweet potato tissues,1
potato,6
Solanum tuberosum,1
common stem nuclear,1
coronavirus M protein,2
Aedes aegypti,32
swine flu.â,1
feline coronavirus Coronaviruses,1
coronavirus nsp4,1
feline coronavirus,209
respiratory-virus,5
parainfluenza virus,190
metapneumovirus,68
syncytial virus B (,3
RSV B),1
Human Papillomavirus type 16,1
Human Papillomavirus Type 16,2
"JC virus [1,2]",1
HPV,186
mouse embryonic fibroblasts,22
human colorectal tumours,1
C. albicans,31
parainfluenza viruses,77
human parechoviruses,5
Singapore A Severe Acute Respiratory,1
Human IRAS Monoclonal Antibodies Imidazoline receptors,1
SHP-1-deficient macrophages,1
me/me mice,1
Plasmodium,88
Humans,98
avian influenza H5N1,11
respiratory virus,14
Avian Influenza A H5N1 Virus,1
Cats Avian influenza A virus,1
Virus-specific,15
Subtype H5N1,1
H5N1 subtype,5
M2-specific,1
M2-DNA,1
avian M2,1
H5N1 strain,3
avian influenza A (H5N1),8
inpatients,128
Encephalitis Viruses,1
JEVs,2
influenza virus type A,14
InfA,8
parainfluenza virus types 1,9
PIV1,28
PIV3,44
micro-epidemics,1
Drosophila melanogaster cells,2
wild-type Ire1,1
129SvEv mice,2
MHV.,2
BALB/c,53
IFNAR-/- 129SvEv mice,1
IFNAR-/- mice,1
H5N1 vaccine,8
herpesvirus species,1
herpes simplex virus 1,33
murine cytomegalovirus,21
herpesvirus,85
HSV-1 UL33,1
Human Respirovirus Virulence Factor A,1
human parainfluenza virus type 3,19
hPIV3,6
human peripheral blood,6
human blood,22
males,22
cytosolic,25
Canis lupus,1
canine parvovirus,126
canine adenovirus-1,3
coyote juveniles [0.5â1.5,1
canine herpesvirus,4
wolves,14
Neospora caninum,15
fox,28
canine distemper virus,110
CDV,110
kittens,47
Chinese hamster ovary (CHO) cells,12
SARS-Coronavirus strain Frankfurt-1,1
SARS-Coronavirus strains,1
Syrian Golden Hamsters,1
SARS-CoV 7b,1
SARS-Coronavirus genome,1
V3V5,1
V1V2-dependent,1
mouse pneumovirus,1
viral-specific,4
wildfowl,1
Sin Nombre Virus,2
Sin Nombre virus,6
hantavirus pulmonary,12
deer mouse,2
Peromyscus maniculatus,3
Porcine,720
PEDV isolates,52
parainfluenza,118
mouse macrophage,2
human HeLa cells,2
human Keratin,1
Rabies Virus,15
rabies virus,119
Men,12
Escherichia coli cell lysates,1
human patient antiserum,1
non-recombinant,3
Human Adenovirus 14a,1
torovirus,48
Ducks,17
H5N1 influenza Abstract Wild ducks,1
H5,86
duck species,6
duck,61
SARS-CoV â,1
subunits,61
Goose parvovirus,1
GPV,7
GPV DNA,1
goslings,10
Mother-to-Child,1
Mother-to-child,2
bornavirus glycoprotein,1
Borna disease virus,19
BDV,37
BDV glycoprotein (G),1
BDV G.,1
BDV G,1
Avian Coronavirus Infectious Bronchitis Virus Is,1
Beaudette strain,15
M41,59
Beaudette,21
rhesus macaque T cell receptor Î²-chain,1
antigen-specific T cell receptor,1
human TCR,1
human TRB,2
rhesus macaque TRB,3
Tomato bushy stunt virus,8
Tobacco,26
Turnip crinkle virus,4
murine embryonic stem cells,1
murine embryonic stem,2
MMVp,6
litters,72
blastocysts,3
Recipients,17
plus-,8
Human Immunodeficiency Virus-Infected Children,2
mother-to-child,3
hepatitis C virus E1 glycoprotein,1
E1-E2,4
human immunodeficiency virus type 1 (HIV-1)/HCV,1
E1E2 pseudotyping,1
E1E2,15
pseudotypes,34
bovine milk,5
respiratory dendritic cells,1
virus-specific T cell,14
lethal MA15,1
human serum albumin,8
human lung carcinoma cells,1
encephalomyocarditis virus,39
human proinsulin,1
human leukocyte antigens,5
human HLA,3
chimpanzee,26
Swine,98
Malaysians,3
Europeans,9
pig,441
homosexuals,3
paramyxovirus,107
Henipavirus,41
Pteropus fruit bats,1
henipavirus G glycoprotein,2
m102.4,2
avian virus,8
Mexican,1
JHM,165
JHMV,186
virus-specific T cells,42
CXCR2â/â mice,2
A/H1N1,32
avian tracheal epithelial cells,1
avian tracheal epithelial (ATE) cells,1
chicken tracheas,3
rhabdovirus,37
VSV virions,8
VSV,79
Feline Immunodeficiency Virus,15
cat populations,13
mouse Coronaviruses,1
CoVs,87
human chromosome 12,2
mouse chromosome 6,1
Coronavirus Spike Glycoprotein,11
Human Bronchial Epithelial Cells,6
human bronchial epithelial cells 16HBE,1
pseudotyping,14
H1N1pdm,23
coronavirus SARS-CoV,6
human proteome1,1
Escherichia coli O157:H7,9
VTEC O157:H7,5
co-housed,2
VTEC O157,1
calf,32
Swedish cattle,3
non-structural protein nsp3e,1
hSARS-CoV,1
avian hosts,10
H1N1,89
Human pregnancy-associated malaria-specific B cells,1
Plasmodium falciparum-infected erythrocytes,2
Baculovirus constructs,1
influenza virus A (,5
human alveolar epithelial cells,11
HPAI H5N1 virus,13
Herpes simplex virus type 1,16
influenza virus A,44
influenza virus A/MDCK cells,1
Astilbe rivularis,2
Bergenia ciliata,2
Cassiope fastigiata,1
Androsace strigilosa,1
Verbascum thapsus,2
A. rivularis,1
C. albicans ERG11,1
C. albicans isolates,3
Human Immunodeficiency Virus type,1
H5N1 viral,5
Eight-week-old BALB/c mice,1
H5N1-inoculated mice,1
coronavirus Nsp1,1
coronavirus nsp1,4
Pteropid Bat Cell Lines,1
Hendra virus,89
SARS-like coronaviruses,30
bat-borne viruses,29
foxes,50
Simian virus 40 Large T antigen,1
human telomerase reverse transcriptase,2
Hendra,53
lentiviral pseudotype,2
CVS-11 envelope glycoprotein,1
pseudotype,26
bat virus,15
Duvenhage virus,1
Mokola virus,3
CVS-11 pseudotypes,1
lyssavirus,24
provirus,13
FeLV provirus,3
proviral,20
feline oncornavirus-associated cell membrane antigen,3
cats FOCMA,1
Viruses (ICTV,13
Subviral Particles,2
Flavivirus infected cells,1
E. METHODOLOGY/PRINCIPAL,1
DV1,1
DV1 RSPs,2
SARS-CoV 3a,11
Madin-Darby canine kidney cells,7
H274Y,6
people worldwide.â,1
Borrelia spp,5
Murine Norovirus,10
calicivirus murine norovirus,1
MNV VP2,1
BM2,11
human immunodeficiency virus (HIV)-1 type B,1
Human Rhinovirus Species C,1
human respiratory syncytial virus A,3
human rhinovirus A,4
human coronaviruses 229E,20
H1N1pdm NPS,1
Human Pathogens,9
SARS-CoV-specific memory,1
SARS-CoV S,70
SARS-recovered patients,4
SARS-CoV patients,4
porcine rotavirus VP4,1
Porcine rotavirus,2
porcine rotavirus,36
Echerichia coli,1
IgA,2
BMDMs,1
Lethal Chandipura Virus Encephalitis,1
Chandipura Virus,1
CHPV,23
intracranially,6
Chandipura,6
peri-centenarian,1
SARS-coronavirus nsp12,2
SARS-CoV nsp12,5
coronavirus nsp8,5
zoo,13
pandas,7
canine anti-CCV serum,1
CCV,17
broiler flocks,35
IBV isolates,81
IBVs,136
Chinese IBVs,1
Chinese IBVs (strain A2,1
pedigreed cynomolgus macaques,1
pedigreed,1
macaque B,1
Human enterovirus species C (HEV-C),1
HEV-A,4
HEV-B (,1
Stool extracts,1
HEV-C,2
Influenza A M2,1
M2-specific monoclonals,1
human blood monocytes,3
Mouse Sperm Mammalian sperm,1
coronavirus spike glycoprotein,16
coronavirus cell,2
pseudotyped,74
SARSpp,5
hybrid,7
HSV-1 ICPÎ³34.5,1
PE patients,11
UK-2,4
human respiratory epithelium,9
human bronchial epithelium,1
human bronchial epithelial,4
A/Hong Kong/54/1998,1
human bronchi tissue,1
human airway trypsin-like (HAT) protease,1
avian H5N1 viruses,3
Human lung epithelial cells,1
IBV,74
K-IIa type strain KM91,1
KM91,8
chicken,191
HIV-1 isolates,12
Tier-2 HIV-1,1
pseudoviruses,24
Tier-2 pseudoviruses,1
HK20,2
Human host immune response,1
nvH1N1,7
"Avian Influenza Virus Types,",1
A/HN,1
human leukocyte antigen (HLA)-A,1
Non-Human,1
virus-specific CD8,12
H9 subtypes,1
avian H5N1 virus,2
H5N1-induced lung,2
Human Coronavirus NL63 Open Reading Frame 3,1
coronavirus NL63,14
hCoV-NL63 ORF 3,1
Mycoplasma genitalium,5
1918 influenza virus,9
Human Coronavirus 229E,16
Eidolon helvum fruit bats,1
hCoV-229E,3
Feline Infectious Peritonitis Virus Feline coronavirus,1
feral cat,2
cat colonies,3
feline enteric coronavirus (FECV),16
Human bocavirus,67
HBoV NPA PCRâpositive,1
avian H5N1 viral,1
H5N1 NP373-381,1
Virus Influenza A (H1N1sw),1
swabs,92
H1N1sw virus,2
M2e-MAP,3
M2e-specific IgG,3
mouse lungs,21
VN/1194,1
clade2.3.4,1
SZ/406H H5N1 virus,1
M2e,2
Arteriviruses,9
EAV,241
Hepatitis C virus,78
flavi-,2
Influenza Virus Strains,2
amantadine-,2
FMDV isolates,2
suckling mice,1
Salmonella choleraesuis,4
S. cho,1
Canine rabies,1
dog,57
SARS-Coronavirus (SARS-CoV),3
SARS-CoV S glycoprotein,23
Cattle Human,1
GII.4-like strains,1
GII.4-like noroviral,1
Canine Parvovirus,14
CPV,234
CPV-2c,38
FCoV genome,3
Siamese cats,2
E. coli BL21(DE3,3
patient-episodes,1
coronavirus protein 7a,1
human Ap(4)A-hydrolase,2
SARS-CoV 7a,1
Human tissue culture cells,1
monotreme,1
marsupial lineages,1
lagomorphs,6
Human CEACAM3,1
Herpes Simplex Virus Type-1 Virions,1
gB,39
gD,81
glycoprotein-deficient HSV-1 virus,1
HSV-1 glycoproteins,2
Seadornaviruses,1
Coronaviruses for +1,1
HCVcc,31
JFH-1 strain,1
60Â°C,12
human serum,48
HCVcc within 2,1
Monkeys,6
immunodeficient mice,17
alphavirus VLP vaccines,1
Murine Coronavirus Cell Type,1
Murine coronavirus,10
hepatitis,306
mouse fibroblast cell lines,3
human 293T cells,4
Varicella zoster virus,4
Lassa fever virus,13
Hantavirus Sin Nombre species (,1
Lassa,11
H5N1 NA sequences,1
H5N1 strains,12
human telomerase,4
primate cell cultures,2
HPAI H5N1 virus lineages,1
flocks,100
measles virus,60
rinderpest virus,11
Morbillivirus,15
MeV,4
non-human species,1
measles,14
feline herpesvirus 1,6
feline calicivirus,71
Chlamydophila felis,8
feline herpesvirus-1,5
FHV-1,51
FCV,183
C. felis,6
birnavirus GC1,2
rockfish Sebastes schlegeli,2
birnavirus strains,1
MABV genogroup,1
IPNV,4
Europe,8
entomobirnaviruses,1
genogroup 3,1
infants,48
reassorted virus,1
Groundnut Bud,1
Groundnut bud,2
leguminosae,1
solanaceae plants,1
nonstructural,6
Ad,136
Aedes,11
Uranotaenia mosquitoes,1
avian influenza A (,5
H5N1 in ferrets,1
human microbiota,1
C. albicans cell surface,1
convalescent sera,30
DNA cancer,1
avian cells,26
NS1,150
Human Immunodeficiency Virus (HIV),5
HCW,52
RVFV ZH501,1
rZH501-M847-G,3
rZH501-M847-A,3
rZH501-M847-A-infected mice,1
RVFV mouse,1
rhinolophid bats,4
Deer Mice,1
deer mice,7
STAT1â/â mice,2
"SARS-CoV Viruses 4-[(1,2-dihydro-2-oxo-3H-indol-3-ylidene)amino]-N(4,6-dimethyl-2-pyrimidiny)benzene sulphonamide",1
Huh 5-2 cells,2
Human CEACAM1,3
FVB mouse oocytes,1
embryos,8
Viral Load,7
parainfluenza (PIV,2
CoV (n=4) 1.8Ã10(5,1
influenza B,38
Coronavirus Membrane,7
Coronavirus membrane,4
SARS-CoV M regions,1
Leptospira spp,26
Canis,7
Felis (14 each,1
Rattus (13),1
Equus (11,1
Macaca,1
Swiss VFRs,1
norovirus genogroup,1
SARS-CoV antigen,3
Asians,12
SARS-like CoVs,9
coronaviruses formed 3 clusters,1
human immunodeficiency virus type-1,10
paramyxoviruses Hendra virus,1
Nipah virus,48
SARS-CoV infected cells,12
anti-coronavirus,29
Avian Paramyxovirus-1 Newcastle Disease Virus,1
avian paramyxovirus,12
aPMV-1,1
M. mycoides subspecies,1
human parvovirus B19,9
B19V,16
B19V IgM,2
antigen-specific B cell,4
Filovirus,19
Marburg virus,74
DTH,13
antigen-specific CTLs,2
Human Embryonic Kidney 293 cells,1
VIRIP,2
SARS-CoV Nsp14-Exonuclease Mutant Virus,1
coronavirus exoribonuclease,1
murine hepatitis virus,121
SARS-ExoN,1
Bacillus cereus,3
Aspergillus niger,5
Human Bocavirus 2,1
HPVs,14
human papillomavirus,44
condyloma acuminatum,3
KM91 RFLP,2
IBV isolates K10217,1
Avian Influenza Virus H5N1,2
bird-to-human,1
human mucosa,1
N. meningitidis,5
Moraxella catarrhalis,41
murine CEACAM1,6
Schistosoma japonicum,4
S. japonicum,7
SS patients,7
Human Metapneumovirus,63
Nasal/throat swabs,3
parainfluenzavirus (PIV) 3,1
Piscirickettsia salmonis,2
mid-turbinate nasal flocked swabs,2
patient Pa0(2)/Fi0(2,1
ferret (Mustela putorius furo,1
ferret,7
HPV DNA,8
human papillomavirus type 16,4
HPV-16) E7 antigen,2
CCoV,156
dogs,477
TGEV-like CCoV,5
CCoV-II,26
CCoV-IIb strains,5
US Centers,24
case-patients,55
H1N1 influenza A virus,13
Bermejo-Martin,1
WU Polyomavirus,4
WU polyomavirus,24
Border,15
avian influenza virus,125
Human Influenza A (H5N1),1
Human Primary Plasmacytoid Dendritic Cell IFNÎ±,1
rhesus rotavirus,7
RRV,70
human peripheral plasmacytoid dendritic cells,1
human peripheral pDCs,1
human pDCs,5
canine distemper virus A multiplex,1
CDV genome,5
CDV wild-type,5
canine adenovirus,18
canine distemper,27
Heilongjiang,14
CDV vaccine,4
human lymphocytes A licorice,1
constituents,18
human lymphocytes,9
Theiler,47
murine encephalomyelitis virus,26
Theiler's murine encephalomyelitis virus,12
TMEV,125
VP2 puff B,2
GDVII,7
TMEVs,2
murine retrovirus,1
human coronavirus HCoV-HKU1,1
human enterovirus 71,7
Coxsackieviruses,1
human enterovirus 71 (HEV71),3
HEV71,7
VP1 capsid,5
HEV71 isolates,1
C4 subgenotype,1
HEV71 strain,1
Coxsackievirus A16,7
human avian,10
Glycyrrhiza,4
ESTs,2
RABV,120
EBLV-1,21
CVS-11,8
murine leukemia virus,11
high-titre pseudotype,2
CVS-11 pseudotype,1
EBLV-2,7
NL63 coronavirus spike proteins,1
NL63 S,1
Borrelia burgdorferi OspA,1
human intestinal epithelial cells,3
Human Coronavirus NL63 Is Not,1
human coronavirus (HCoV)âNew,1
HCoVs,217
human monocytes,17
human extravillous trophoblast cell lines,1
Patient,218
antirabies,1
rabies-related,2
bovine corona virus,8
Bovine respiratory syncytial virus,21
Paramyxoviruses,26
tobacco DNA,1
Nicotiana tabacum chloroplast DNA,1
Morus bombycis,1
HIV-1 Pr55Gag,1
HIV producer cells,2
HIV Gag,8
A/Vietnam/1203/2004,3
reassortants,21
human influenza virus A/Texas/36/91 (H1N1),1
avian H5N1 influenza,4
Salvia miltiorrhiza,3
H5N1 avian influenza virus,20
Vaccine Strains,1
vaccine-matched circulating influenza A viruses,1
H3N2 viruses,11
Varicella-Zoster Virus,4
Virus Infectivity,4
Varicella-zoster virus,6
cell-free VZV,3
JHMV â,1
Bluetongue Virus-1,1
BTV-10,2
BTV-1,10
PRRSV,1559
Porcine Lung,1
PRRS,157
PRRS virus,43
porcine alveolar macrophages,39
N-PRRSV,5
SARS-CoV NP,4
human fetal lung diploid fibroblast (2BS) cells,1
human immune,48
Reovirus Reovirus,1
murine central nervous system,6
Bid-deficient cells,1
Bid-deficient mice,1
Porcine Rotavirus VP4 Outer Capsid Protein,1
Asia-Pacific,61
Human Influenza,1
parvoviruses,44
HIV protease,3
HIV protease amino acid,1
Arcady Mushegian,1
Bovine Corona Virus,1
myelin-specific T cells,1
myelin-specific T cell,1
Human bocaviruses,3
human bocavirus 4 (HBoV4),1
bocaviruses species,1
HBoV4 species,1
human bocaviruses,6
HBoV1,102
Human Epitope,1
Alphaviral E1,1
VEE,12
VEEV envelope,1
glycoproteins E1,1
murine monoclonal antibodies,15
human VEE,1
human bone marrow donors,1
VEEV subtype,1
neutralization-escape,3
alphaviral surface proteins E1,1
Sindbis virus E2,1
human VEEV epitope,1
VEEV-neutralizing,1
virus neutralization-escape,1
duck hepatocytes,4
duck hepatitis B virus,10
Hepatitis B virus,30
hepadnavirus,12
Duck heptatitis B virus,1
DHBV,9
PDHs,2
Gallus gallus,7
Anas platyrhynchos,10
parainfluenzavirus,3
HBoV-positive,3
HIV-1 latently,2
human peripheral fluids,1
latently,29
Cytopathic Virus Infections Plasmacytoid dendritic cell (pDC)-mediated,1
cytopathic virus,1
Influenza Virus,27
Parainfluenza Virus,4
Syncytial Virus,129
AdV,76
"PIFV) 1,",1
IBV particles,3
Adenovirus Hexon Hypervariable 2,1
Adenoviral,26
Ad serotype 5,1
Ad capsid protein hexon,2
HIV antigen,2
HIV membrane,3
MPER,21
HIV glycoprotein gp41,1
HIV epitope-specific humoral immune response,1
Dublin,2
Escherichia coli serogroup O157:H7,1
E. coli O157:H7,43
enterohemorrhagic E. coli,4
bovine neonatal enterocytes,1
S. Dublin,10
intimin-specific fecal IgA.,1
Echinococcus spp,1
granulosus hydatid cyst fluid,1
Echinococcus multilocularis,1
Echinococcus granulosus,1
E. multilocularis,4
E. granulosus,3
Murine Coronavirus,34
neurotropic strains JHM,1
A59,202
neurovirulent JHM isolates,1
neurovirulent A59,3
Turkey,64
woman,52
Human Coronavirus HCoV-NL63,1
human coronavirus HCoV-NL63,3
Chlamydia pecorum,7
Chlamydia abortus,3
PEDV - Chlamydia pecorum,1
Machupo virus,14
MACV,27
Infectivities,1
influenza-specific,10
child,40
Enterovirus type 71 2A protease,1
yeast Enterovirus type 71,1
EV71 2A,3
Coxsackie virus B3 2A,3
poliovirus 2A protease,1
EV71,381
Feline Coronavirus,13
Feline coronaviruses,8
feline enteric coronaviruses,6
FECV,76
Fruit Bat Cells,1
aegyptiacus,13
filovirus Marburg virus,1
Marburg viruses,21
monkey-derived cell lines,1
