disease,frequency
human coronavirus infections,14
viral respiratory tract infection,14
aggression,14
acute myeloid leukemia,14
rhabdomyolysis,14
enterovirus infections,14
watery,14
cGVHD,14
infectious anemia,14
immune-mediated disease,14
Chikungunya,14
fracture,14
H7N9 infections,14
atrophic enteritis,14
arrhythmia,14
Babesia,14
CDV infection,14
PIV-1,14
C. parvum,14
HAdV-C,14
Zoonotic Disease,14
HCAP,14
ticks,14
para-influenza,14
FCV infection,14
flood,14
reproductive disorders,14
metabolic disorders,14
allergic asthma,14
alphavirus infection,14
AstVs,14
KIV,14
memory CD8 T,14
bronchopulmonary dysplasia,14
Amsterdam,14
acute viral hepatitis,14
arrhythmias,14
Lawsonia,14
simian hemorrhagic fever,14
hypoxaemia,14
DVIM,14
stillbirths,14
virus diseases,14
pasteurellosis,14
coronavirus 2019,14
HSR,14
feline infectious peritonitisAbstract,14
coronavirus nucleic acid,14
human coronaviruses OC43,13
FLS,13
cytomegalovirus infection,13
tularemia,13
community-acquired infections,13
immunity,13
Ark,13
hemorrhages,13
respiratory insufficiency,13
CVB,13
parasitic infections,13
cholestasis,13
AHC,13
metabolic diseases,13
opportunistic infection,13
leukemia,13
H1N1/2009,13
myelin damage,13
pneumoniae pneumonia,13
MM,13
BOOP,13
Axis,13
acute bronchiolitis,13
enterovirus infection,13
alveolar hemorrhage,13
suppurative,13
H6N1,13
Plasmodium vivax,13
loss of appetite,13
herpesvirus,13
stress disorder,13
co-infected,13
C. pneumoniae,13
KSHV infection,13
aseptic meningitis,13
DON,13
Chronic obstructive pulmonary disease,13
erythema,13
viral infectious,13
idiopathic interstitial pneumonia,13
immunodeficiency,13
Respiratory Coronavirus,13
pancytopenia,13
TGEV,13
GS,13
AIH,13
MP-12,13
mammary tumor,13
influenza-like illnesses,13
Atopic,13
Lactobacillus rhamnosus,13
block infection,13
"virus, respiratory syncytial virus",13
kidney injury,13
chronic viral infection,13
coronavirus nucleocapsid,13
JUNV infection,13
Pneumocystis carinii,13
P. carinii,13
squamous cell carcinoma,13
urinary tract,13
stillbirth,13
RRV,13
swine testis,13
streptococci,13
tracheobronchitis,13
carbapenems,13
Neospora caninum,13
malignant tumors,13
H. parasuis,13
Respiratory disease,13
avascular necrosis,13
humor,13
Giardia,13
hypoproteinemia,13
VCP,13
Radix Bupleuri,13
Crimean-Congo hemorrhagic fever,13
SAH,13
earthquakes,13
nose,13
airflow obstruction,13
Viral pneumonia,13
Myocarditis,13
insomnia,13
GHD,13
haemolysis,13
fractures,13
nonadherence,13
RJHM,13
corona virus disease,13
Respiratory Syndrome-Associated Coronavirus,13
MDD,13
bacterias,13
SARS-CoV-2 infections,13
Coronavirus (2019-nCoV),13
chest compression,13
LYM,13
BVDV-2,13
NHAP,13
SSH,12
HSV-2,12
S. epidermidis,12
acute infectious diseases,12
neuronal injury,12
PDD,12
Defense,12
fungal disease,12
HCV infected,12
BmNPV,12
chronic illness,12
Osteonecrosis,12
virus type A,12
Kaposi's sarcoma-associated herpesvirus,12
LTB,12
Chlamydophila,12
Anemia,12
influenza-like-illness,12
Lactobacillus plantarum,12
VZV infection,12
axonal loss,12
rhinorrhoea,12
H1N1v,12
virus infections,12
FMS,12
Rous sarcoma,12
RVFV infection,12
Methicillin-resistant,12
healthcare-associated infection,12
diseases,12
Helicobacter pylori,12
Meningitis,12
DENV-2 infection,12
tachypnoea,12
PIVs,12
Respiratory Syncytial,12
posttraumatic stress disorder,12
HHV-6B,12
MCMV infection,12
AE-COPD,12
neutrophilic inflammation,12
chlamydia,12
co-circulate,12
HCV infections,12
PIV-2,12
skin rash,12
tissue destruction,12
hCoV,12
Coronavirus infections,12
chronic lung diseases,12
infectious respiratory disease,12
Lactobacillus acidophilus,12
hospital-associated,12
EPS,12
FHV-1,12
keratoconjunctivitis,12
SP,12
mitochondrial damage,12
neoplastic,12
non-immunocompromised,12
bloodstream infections,12
HAdV infection,12
cyanosis,12
atrial fibrillation,12
respiratory complaints,12
hepatic injury,12
K. pneumoniae,12
CSFV infection,12
RSV bronchiolitis,12
epithelial damage,12
infectious mononucleosis,12
Leishmania donovani,12
diarrhoeal diseases,12
toxocariasis,12
bipolar disorder,12
ALTE,12
respiratory syndrome corona virus,12
coagulopathy,12
polyarthritis,12
intestinal infection,12
acute lymphoblastic leukemia,12
peripheral T,12
BmNPV infection,12
MERS-CoV disease,12
metabolic acidosis,12
LaSota,12
dengue disease,12
S2â²,12
ideation,12
copathogens,12
cardiopulmonary arrest,12
laryngitis,12
neurological sequelae,12
MTB infection,12
osteosarcoma,12
VWD,12
infection-induced,12
hematoma,12
chronic lung allograft dysfunction,12
pestivirus,12
CVB3,12
HHT,12
myopathy,12
RGNNV,12
periodontal disease,12
infectious diarrhea,12
swine disease,12
Feline immunodeficiency virus,12
vancomycin-resistant enterococci,12
haemolytica,12
ARS,12
infectious and parasitic diseases,12
793/B,12
Stx2,12
GABHS,12
SARS disease,12
streptococcal pharyngitis,12
Norwalk,12
NoV infection,12
CyHV-3,12
anosmia,12
Kawasaki's disease,12
prostate,11
Croup,11
pneumococci,11
SARS-infected,11
chronic inflammatory diseases,11
Staphylococcus epidermidis,11
chorioamnionitis,11
influenza A virus infection,11
ALL,11
human adenoviruses,11
SARS-related coronaviruses,11
AHV-1,11
"rhinovirus, respiratory syncytial virus",11
muscular dystrophy,11
cholangitis,11
stochasticity,11
acute infectious disease,11
infectious respiratory diseases,11
Mouth Disease,11
HEV71,11
HBoV4,11
infected lung,11
FCoVs,11
Arenaviridae,11
wheezy,11
Venezuelan Equine Encephalitis,11
Chimpanzee,11
neuronal death,11
giardiasis,11
virus B,11
Sore,11
bacterial meningitis,11
Melanoma,11
viral and bacterial infections,11
bacterial disease,11
perforation,11
fulminant viral hepatitis,11
Correspondence,11
pseudovirus infection,11
Communicable Disease,11
Colds,11
Respiratory failure,11
Trauma,11
mosquito-borne disease,11
major infectious diseases,11
Nile fever,11
RSV-induced,11
hypothyroidism,11
cell-cycle arrest,11
wind-cold,11
feline leukemia virus (FeLV,11
cytopenia,11
digestive disorders,11
parasitemia,11
active disease,11
LBW,11
hepacivirus,11
tsutsugamushi,11
NTHi,11
H7N9 virus infection,11
decline in lung function,11
H1N2,11
ALV-J infection,11
optic neuritis,11
villus atrophy,11
pulmonary disorders,11
CA16,11
AHF,11
Arteritis,11
lymphadenitis,11
Parkinsonâs disease,11
Swine Fever,11
H10N8,11
bacterial sepsis,11
bacterial bronchitis,11
hypogammaglobulinemia,11
airborne disease,11
bacterial and viral infections,11
RSV-associated,11
dysbiosis,11
hepatic inflammation,11
GvHD,11
tropical disease,11
Ebola hemorrhagic fever,11
Cryptosporidia,11
febrile disease,11
gonorrhoea,11
infected cattle,11
infected lungs,11
ALF,11
hypercholesterolemia,11
anger,11
pulmonary hemorrhage,11
immune-mediated demyelination,11
acute viral infections,11
parasitic infection,11
nontuberculous,11
coronary artery abnormalities,11
diarrheal diseases,11
human norovirus,11
Diarrheic,11
mosquito-transmitted,11
asthma exacerbations,11
Mass-type,11
gastrointestinal disorders,11
acute pancreatitis,11
BVDV infection,11
ventilator-associated,11
pharyngotonsillitis,11
BCoV,11
grouper nervous necrosis,11
puberty,11
systemic diseases,11
idiopathic pneumonia syndrome,11
hyponatremia,11
cardiac disease,11
end-stage renal disease,11
FFV,11
Tumor necrosis,11
vomit,11
lung lesion,11
SARS infections,11
AHRF,11
NC99,11
TCV,11
SARS-CoV-induced,11
cornea,11
DCM,11
bipolar,11
paralytic disease,11
RV16,11
Bubalus bubalis,11
chest tightness,11
Haemophilus somnus,11
somnus,11
pneumopathies,11
acute renal impairment,11
SGVHD,11
CD4+CD8,11
abscess,10
nasal obstruction,10
Arthritis,10
duck hepatitis B,10
non-lethal,10
coronavirus vaccine,10
Toxicity,10
hantavirus cardiopulmonary syndrome,10
acute respiratory disease,10
parasitic disease,10
thyroiditis,10
BSI,10
hypertrophic cardiomyopathy,10
interstitial edema,10
memory CD8(+) T,10
Immunopathogenesis,10
FHV-1 infection,10
HCoV OC43,10
rotavirus disease,10
Neuroinflammation,10
Plasmodium falciparum malaria,10
leprosy,10
mood disorders,10
virally infected,10
purulent,10
APMVs,10
bronchointerstitial pneumonia,10
Vomiting,10
wasting disease,10
respiratory exacerbations,10
viral zoonosis,10
keratitis,10
coma,10
rhabdomyosarcoma,10
re-emerging diseases,10
NSDV,10
CHIK,10
Parvovirus,10
HEV infections,10
dengue infections,10
coronary artery lesions,10
SARS-related,10
human coronavirus (HCoV,10
acute liver failure,10
Interleukin-6,10
gram-negative,10
volvulus,10
upper respiratory tract disease,10
HPIV-2,10
Cytokines,10
OM-85,10
hemolytic uremic syndrome,10
hepatic steatosis,10
viral ARI,10
IgG2,10
BRSV infection,10
SIR,10
ovarian cancer,10
Vasculitis,10
herpesvirus infection,10
convulsions,10
granulomatous,10
infectious and noninfectious,10
human lung,10
RSV-positive,10
lung abnormalities,10
neuromyelitis optica,10
kidney impairment,10
malaria infection,10
Coronaviruses,10
periodontitis,10
airway remodeling,10
haze,10
DENV4,10
inflammatory demyelinating,10
Rotavirus A,10
amyotrophic lateral sclerosis,10
Malignancy,10
cachexia,10
blood loss,10
adenovirus pneumonia,10
tick-borne diseases,10
HAD,10
acute respiratory distress,10
acute lung failure,10
ocular infections,10
systemic sclerosis,10
non-susceptible,10
bronchiolitis obliterans,10
human lung tissue,10
enterovirus/rhinovirus,10
major disease,10
Isatidis Radix,10
Respiratory Syncytial Virus Infection,10
metapneumovirus infection,10
infectious etiologies,10
tropical diseases,10
pulmonary damage,10
CPV-2c,10
bursa of Fabricius,10
virus (ZIKV),10
ocular disease,10
HAI,10
Cowden,10
febrile seizure,10
Bacteroides,10
pericardial effusion,10
MERS infection,10
BW gain,10
congenital abnormalities,10
pleural thickening,10
RP,10
TCGA,10
spermatogenesis,10
dermatophytosis,10
HSP,10
Viral diseases,10
viral sepsis,10
Bordetella,10
pylori infection,10
Nile virus infection,10
intestinal microflora,10
MODS,10
ITP,10
C. auris,10
Kawasaki syndrome,10
glass opacities,10
non-Hodgkin lymphoma,10
infected pneumonia,10
viral respiratory infection,10
thrombi,10
Rhinosinusitis,10
AHU,10
neuropathic pain,10
Anderson,10
BPD,10
airways disease,10
nonbacterial gastroenteritis,10
leucocytosis,10
ISD,10
SARS coronavirus nucleocapsid,10
feline leukemia,10
ABV,10
IHH,10
astrocytoma,10
COVID-19 infected,10
coronavirus disease-19,10
PTE,10
AECB,10
meticillin-resistant Staphylococcus aureus,10
acute cardiac injury,10
SARS-CoV-2 pneumonia,10
ALRIPS,10
fDC-SIGN,10
granulomatous inflammation,9
neoplasm,9
229E,9
food-borne diseases,9
PHI,9
chronic respiratory disease,9
respiratory disorder,9
Respiratory infection,9
abscesses,9
Acanthamoeba,9
transfusion-transmitted infections,9
infectious pneumonia,9
nonbacterial,9
transversions,9
non-small cell lung cancer,9
peripheral nervous system,9
hantavirus,9
Syndromic,9
Chikungunya fever,9
vulgaris,9
HRV-A,9
shock syndrome,9
respiratory syncytial virus B,9
HPV16 infection,9
infection of the respiratory tract,9
UTIs,9
InfA,9
ischemic heart disease,9
autism,9
respiratory viral disease,9
respiratory and neurological disease,9
H1N1pdm,9
febrile diseases,9
antigenemia,9
granuloma,9
Nile Virus Infection,9
candidemia,9
RSV pneumonia,9
human immunodeficiency virus type-1,9
parvovirus B19,9
B19V infection,9
hepatitis B surface antigen,9
coronaviral infection,9
infectious bursal disease,9
cardiac diseases,9
re-infections,9
sleep disturbance,9
skin cancer,9
ORVs,9
bocavirus infection,9
pericarditis,9
initiation of infection,9
chronic lymphocytic leukemia,9
chronic pulmonary disease,9
Machupo,9
pyuria,9
febrile respiratory illnesses,9
abnormal liver function,9
neurological deficits,9
Community-acquired,9
zoonotic influenza viruses,9
human parainfluenza viruses,9
PCV2 infections,9
neurogenic inflammation,9
steatosis,9
cepacia,9
hCoV-EMC,9
colorectal carcinoma,9
HCoV,9
hemorrhagic gastroenteritis,9
JIA,9
emergent diseases,9
cerebrovascular disease,9
cognitive impairment,9
dermatomyositis,9
CK/CH/LDL/97I,9
HCAI,9
lymphomas,9
neuronal degeneration,9
TcdA,9
neurodegenerative,9
heart diseases,9
intestinal disease,9
rigidity,9
interstitial pneumonitis,9
Sarcoidosis,9
CoV-OC43,9
Hemorrhagic Disease,9
WSSV infection,9
Argentine hemorrhagic fever,9
trypanosomiasis,9
allergic airway inflammation,9
inflammatory bowel diseases,9
thrombus,9
adenovirus (AdV),9
diarrheal illness,9
Necrotizing,9
tracheitis,9
psittacosis,9
Sarcocystis,9
chronic heart failure,9
HuNoVs,9
multiorgan dysfunction,9
mycobacteriosis,9
ALRTIs,9
FTD,9
MSM,9
Respiratory virus infections,9
K88,9
polyuria,9
CCoV-IIa,9
white matter damage,9
bronchospasm,9
Airway Inflammation,9
immune diseases,9
airborne diseases,9
malabsorption,9
filovirus infections,9
Viral Pneumonia,9
haemorrhage,9
urticaria,9
neurogenesis,9
acute diarrhoea,9
endothelial dysfunction,9
Colitis,9
anomalies,9
coronaviruses 229E,9
bronchiectasis exacerbations,9
cardiotoxicity,9
cardiac dysfunction,9
human bocavirus,9
congenital Zika syndrome,9
immune deficiencies,9
non-A,9
asthma-like,9
angina,9
parapertussis,9
Down,9
polyarthralgia,9
respiratory and enteric viruses,9
acute enteritis,9
chronic infectious diseases,9
obstructive sleep apnea,9
palsy,9
CF lung disease,9
Pharyngitis,9
ABM,9
Crimean-Congo haemorrhagic fever,9
Picobirnavirus,9
CLD,9
viral respiratory disease,9
diarrhea syndrome,9
Trichuris,9
HSK,9
Respiratory viral infection,9
AMPV,9
pyogranulomatous,9
psychosis,9
herpesvirus infections,9
mucosal disease,9
hepatocarcinogenesis,9
Viral Diarrhea,9
bradycardia,9
necrotizing,9
metritis,9
Lymphocytopenia,9
postnasal,9
SL-CoVs,9
GCA,9
Necrotizing Enterocolitis,9
parotitis,9
HCV OC43,9
FEB,9
AGMs,9
nsp9,9
EHF,9
SFV infection,9
P. J. M.,9
thrombocytopenic,9
recrudescence,9
neuronal cell death,9
autoimmune diabetes,9
Urticaria,9
fAGPrP,9
microbial diseases,9
bronchial hyperreactivity,9
Sin,9
gastrointestinal infection,9
cryptosporidia,9
Contentsnan,9
CVMs,9
COVID-19 death,9
C. michiganensis,9
HRV-14,9
P. hominis,9
ALVAC,9
respiratory infectious,8
SARS pandemic,8
SARS-coronavirus infection,8
H5N1/97,8
TC,8
malignant disease,8
osteoarthritis,8
HCV-infected,8
Giardia intestinalis,8
chronically infected,8
coronavirus HKU1,8
SARS-CoV infection,8
human melanoma,8
zoonotic infection,8
VHFs,8
hydrophobicity,8
KIPyV,8
ADP-ribose,8
acute otitis,8
HED,8
dengue haemorrhagic fever,8
Nosocomial infections,8
inflammatory demyelination,8
Borna disease virus,8
Achromobacter xylosoxidans,8
mycobacterial infection,8
Salmonellosis,8
self-imposed,8
H1N1/09,8
RRV infection,8
flu-like illness,8
E. J.,8
acute respiratory syndrome coronaviruses,8
viral infectious disease,8
pyelonephritis,8
Leptospirosis,8
Toxoplasmosis,8
Simian Hemorrhagic Fever,8
ANV,8
hypercapnia,8
asthma and chronic obstructive pulmonary disease,8
reproductive syndrome,8
deadly disease,8
S. A.,8
adverse drug reactions,8
hand-foot-and-mouth disease,8
Febrile Illness,8
Tick-borne encephalitis,8
bats infected,8
glaucoma,8
sapovirus,8
IRD,8
Schizophrenia,8
Feline Immunodeficiency Virus,8
infectious,8
immunological disorders,8
venous thrombosis,8
chronic inflammatory disease,8
pandemic diseases,8
Gastrointestinal symptoms,8
ARDs,8
transudates,8
hMPV pneumonia,8
canine visceral leishmaniasis,8
human coronaviruses (HCoV,8
asphyxia,8
Clostridium perfringens,8
RESTV,8
Neutropenia,8
respiratory and gastrointestinal infections,8
HI,8
Breast Cancer,8
stems,8
albuminuria,8
liver failure,8
enterococci,8
chronic viral hepatitis,8
Plasmodium berghei,8
foodborne illness,8
cardiomegaly,8
hepatic necrosis,8
pulmonary injury,8
TTSuV2,8
acute bronchitis,8
CPV infection,8
SVV infection,8
skin infections,8
clay,8
RABV infection,8
tick-borne disease,8
bacterial co-infections,8
neurological dysfunction,8
cuprizone-induced demyelination,8
respiratory coronavirus infections,8
Anaplasma,8
Fall,8
febrile neutropenic,8
